sample,texture,pHw,pHb,P,K,Mg,Ca,S1,B1,Zn1,Mn1,Fe1,Cu1,CEC,K2,Mg2,Ca2,H,OM,no3.ppm,nh4.ppm,
BS 98,sandy clay loam,7.1,7.65,23,1401,1403,5320,34,3.04,2.16,338,72,5.27,23.74,7.56,24.62,56.01,11.79,1.52,14.6,1.45,
BS 99,sandy clay loam,6.7,7.7,21,1135,1422,5265,29,3.26,1.65,316,76,5.37,22.94,6.34,25.82,57.37,10.46,1.42,7.53,2.71,
BS 100,sandy clay loam,7.4,7.7,17,1445,1432,5531,29,3.07,1.96,300,75,5.37,24.04,7.7,24.81,57.5,9.98,1.5,14.1,1.64,
BS 101,clay loam,8.3,7.75,11,1197,1989,10140,32,5.11,2.17,243,73,6.39,37.17,4.12,22.29,68.19,5.38,1.7,6.9,1.4,
BS 102,clay loam,8.3,7.7,19,1296,1687,6710,27,4.56,2.54,282,81,6.23,27.86,5.96,25.22,60.19,8.61,1.66,8.58,1.02,
BS 103,clay loam,8.5,7.75,37,1370,1447,9606,34,4.48,3.07,294,62,5.61,33.8,5.19,17.83,71.04,5.91,1.53,13.9,1.41,
BS 104,clay loam,8.2,7.7,32,1561,1896,6567,36,4.67,4.11,325,80,6.41,28.71,6.96,27.5,57.16,8.35,1.83,27.12,1.99,
BH 37,sandy clay loam,8.2,7.75,147,1789,1730,6421,53,5.88,8.93,263,82,4.59,27.55,8.32,26.16,58.25,7.25,1.61,37.55,0.98,
BH 38,sandy clay loam,7.9,7.75,147,1907,1597,6579,56,5.93,7.81,248,79,4.47,27.54,8.87,24.15,59.7,7.26,1.59,38.41,1.14,
BH 39,sandy clay loam,8.3,7.8,97,1542,1750,6208,96,5.85,7.37,258,86,4.95,26.38,7.49,27.63,58.81,6.06,1.38,22.65,1.23,
BH 40,sandy clay loam,8.1,7.75,171,2051,1979,5967,82,6.61,9.38,274,91,5.06,27.79,9.46,29.66,53.67,7.19,1.63,49.2,1.07,
BH 41,clay loam,7.3,7.8,295,1555,756,3259,70,3.16,10.29,194,107,2.78,14.89,13.38,21.15,54.71,10.74,0.92,32.79,1.63,
BH 42,clay loam,7,7.8,317,1393,677,3323,72,3.01,13.07,191,140,2.72,14.51,12.3,19.43,57.23,11.02,1.12,47.37,1.52,
BH 43,clay loam,6.5,7.8,303,1241,612,2766,52,1.94,8.21,165,146,2.95,12.65,12.57,20.14,54.63,12.64,0.79,30.86,1.26,
BH 44,clay loam,7,7.8,258,1317,650,3168,56,2.7,9.83,191,126,2.9,13.91,12.13,19.46,56.9,11.49,0.92,30.65,1.39,
BH 45,clay loam,7.8,7.85,158,898,1478,2462,143,5.2,6.54,224,81,3.03,14.66,7.85,41.99,41.97,8.18,0.72,23.09,1.03,
BH 46,clay loam,7.8,7.85,173,902,1413,2495,106,5,8.4,214,79,2.97,14.48,7.98,40.65,43.07,8.28,0.71,22.04,0.76,
BH 47,clay loam,8,7.85,231,1079,1593,2841,132,6.16,13.35,199,81,2.91,16.32,8.47,40.66,43.51,7.35,0.84,42.33,0.96,
BH 48,clay loam,7.9,7.85,216,1115,1674,2903,196,6.13,10.83,226,81,3.31,16.86,8.47,41.36,43.04,7.11,0.82,22.96,1.48,
MH 61,sandy clay loam,7.6,7.85,116,941,726,3149,9,1.54,1.67,205,97,3.09,13.3,9.06,22.73,59.17,9.01,0.71,4.25,3.01,
